"/fr/a/canon-ef-50mm-f-1.4-usm-1192464378/","Canon EF 50mm f/1.4 USM","185.00","2021-12-08"
"/fr/a/canon-ef-1.4-50-mm-filter-1192075310/","CANON EF 1.4 / 50 mm + FILTER","185.00","2021-12-08"
"/fr/a/canon-ef-50mm-1.8-stm-objektiv-vollforma-1192418982/","Canon EF 50mm 1.8 STM Objektiv Vollforma","97.00","2021-12-08"
"/fr/a/canon-festbrennweite-ef-50mm-f-1.4-1185334076/","Canon Festbrennweite EF 50mm f / 1.4","250.00","2021-12-08"
"/fr/a/canon-ef-s-18-200mm-f-3.5-5.6-is-1192186620/","Canon EF-S 18-200mm f/3.5-5.6 IS","195.00","2021-12-08"
"/fr/a/canon-ef-70-200mm-f-4-l-is-usm-1192374122/","Canon EF 70-200mm f/4 L IS USM","550.00","2021-12-08"
"/fr/a/canon-ef-200mm-1-2.8-l-ii-1192524070/","Canon EF 200mm 1:2.8 L II","529.00","2021-12-08"
"/fr/a/canon-objektiv-ef-300mm-f2.8-l-is-ii-usm-1192712492/","Canon Objektiv EF 300mm F2.8 L IS II USM","4'900.00","2021-12-08"
"/fr/a/canon-ef-85mm-f-1.8-usm-1192455226/","Canon EF 85mm f/1.8 USM","255.00","2021-12-08"
"/fr/a/canon-ef-100mm-f-2.8l-macro-is-usm-1192466814/","Canon EF 100mm f/2.8L Macro IS USM","650.00","2021-12-08"
"/fr/a/objektiv-canon-ef-28mm-f2.8-1192673324/","Objektiv Canon ef 28mm f2.8","230.00","2021-12-08"
"/fr/a/canon-ef-28mm-f-1.8-usm-1192751616/","Canon EF 28mm f/1.8 USM","270.00","2021-12-08"
"/fr/a/canon-ef-70-300-mm-f-4-5.6l-is-usm-1192584730/","Canon EF 70-300 mm f/4-5.6L IS USM","750.00","2021-12-08"
"/fr/a/canon-ef-16-35mm-f-2.8-l-ii-usm-1192441890/","Canon EF 16-35mm f/2.8 L II USM","815.00","2021-12-08"
"/fr/a/canon-objektiv-ef-100-400mm-f-4.5-5.6-1192249760/","CANON Objektiv EF 100-400mm, f/4.5-5.6","790.00","2021-12-08"
