page_url,title_upper,model_product,end_date,product_quality,end_status,price,price_mean_live,price_mean_not_sold,price_mean_sold,price_min_live,price_min_not_sold,price_min_sold,price_max_live,price_max_not_sold,price_max_sold,price_count_live,price_count_not_sold,price_count_sold,price_sold_max_dif,price_not_sold_min_dif,price_sold_mean_dif
https://www.ricardo.ch/fr/a/canon-ef-24-105-f4-l-is-usm-1196935426/,CANON EF 24-105MM F4 L IS USM,CANON EF 24-105MM F4 L IS USM,2022-02-25,D'occasion,live,350.0,566.625,435.15384615384613,354.0,350.0,375.0,159.0,900.0,499.0,499.0,8.0,13.0,7.0,149.0,25.0,4.0
https://www.ricardo.ch/fr/a/canon-ef-24-105mm-f-4.0-l-is-usm-1187201650/,CANON EF 24-105MM F4.0 L IS USM,CANON EF 24-105MM F4 L IS USM,2022-01-27,D'occasion,not sold,469.0,566.625,435.15384615384613,354.0,350.0,375.0,159.0,900.0,499.0,499.0,8.0,13.0,7.0,30.0,-94.0,-115.0
https://www.ricardo.ch/fr/a/canon-ef-70-300mm-f4.5-5.6-do-is-usm-1196407068/,CANON EF 70-300MM F4.5-5.6 DO IS USM,CANON EF 70-300MM F4.5-5.6 DO IS USM,2022-02-10,D'occasion,live,370.0,431.25,339.0,,370.0,329.0,,455.0,349.0,,4.0,2.0,,,-41.0,
https://www.ricardo.ch/fr/a/canon-ef-70-200mm-f-2.8l-is-iii-usm-1196797858/,CANON EF 70-200MM F2.8 L IS III USM,CANON EF 70-200MM F2.8 L III IS USM,2022-01-31,Neuf (Voir description),sold,1340.0,,1600.0,1316.6666666666667,,1450.0,1300.0,,1750.0,1340.0,,2.0,3.0,0.0,110.0,-23.333333333333258
https://www.ricardo.ch/fr/a/canon-ef-400mm-f-5.6-l-usm-1196651012/,CANON EF 400MM F5.6 L USM,CANON EF 400MM F5.6 L USM,2022-01-31,D'occasion,not sold,700.0,,700.0,,,700.0,,,700.0,,,1.0,,,0.0,
https://www.ricardo.ch/fr/a/canon-ef-m-15-45mm-1194220968/,CANON EF-M 15-45MM,CANON EF-M 15-45MM,2022-02-06,D'occasion,not sold,70.0,,138.66666666666666,,,69.0,,,277.0,,,3.0,,,-1.0,
https://www.ricardo.ch/fr/a/canon-ef-s-10-22mm-f-3.5-4.5-usm-1192464122/,CANON EF-S 10-22MM F3.5-4.5 USM,CANON EF-S 10-22MM F3.5-4.5 USM,2021-12-10,D'occasion,sold,220.0,282.5,299.75,195.0,245.0,230.0,150.0,320.0,390.0,235.0,2.0,4.0,4.0,15.0,10.0,-25.0
https://www.ricardo.ch/fr/a/canon-ef-50mm-1-8-ovp-top-1195691644/,CANON EF 50MM 1.8 OVP TOP,CANON EF 50MM F1.8,2022-01-23,D'occasion,sold,45.0,67.5,76.0,68.5625,50.0,59.0,45.0,85.0,90.0,90.0,2.0,3.0,16.0,45.0,14.0,23.5625
https://www.ricardo.ch/fr/a/canon-ef-24mm-f-1.4l-ii-usm-objektiv-1187773644/,CANON EF 24MM F1.4 L II USM-OBJEKTIV,CANON EF 24MM F1.4 L II USM,2022-01-05,D'occasion,not sold,989.0,923.5,938.5,,749.0,888.0,,1000.0,989.0,,4.0,2.0,,,-101.0,
https://www.ricardo.ch/fr/a/canon-ef-70-300mm-l-is-usm-1193514794/,CANON EF 70-300MM L IS USM,CANON EF 70-300MM F4.0-5.6 L IS USM,2022-02-12,D'occasion,live,790.0,944.75,,618.0,790.0,,500.0,1299.0,,705.0,4.0,,5.0,-85.0,,-172.0
